title,budget,revenue,popularity,genres,release_date,tconst,year,averageRating,numVotes,profit,ROI,year_tmdb,decade,success_category
Avatar,237000000,2787965087,150.437577,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",2009-12-10,tt0154182,1941,6.4,26,2550965087,11.763565767932489,2009,2000,High
Avatar,237000000,2787965087,150.437577,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",2009-12-10,tt0278325,1916,7.0,30,2550965087,11.763565767932489,2009,2000,High
Avatar,237000000,2787965087,150.437577,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",2009-12-10,tt0499549,2009,7.9,1494178,2550965087,11.763565767932489,2009,2000,High
Avatar,237000000,2787965087,150.437577,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",2009-12-10,tt1775309,2011,5.2,131,2550965087,11.763565767932489,2009,2000,High
Pirates of the Caribbean: At World's End,300000000,961000000,139.082615,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",2007-05-19,tt0449088,2007,7.2,742379,661000000,3.203333333333333,2007,2000,High
Spectre,245000000,880674609,107.376788,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",2015-10-26,tt2379713,2015,6.8,495376,635674609,3.5945902408163266,2015,2010,High
The Dark Knight Rises,250000000,1084939099,112.31295,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2012-07-16,tt1345836,2012,8.4,1988154,834939099,4.339756396,2012,2010,High
John Carter,260000000,284139100,43.926995,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2012-03-07,tt0401729,2012,6.6,298739,24139100,1.0928426923076924,2012,2010,Medium
Spider-Man 3,258000000,890871626,115.699814,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2007-05-01,tt0413300,2007,6.3,698214,632871626,3.4529907984496124,2007,2000,High
Tangled,260000000,591794936,48.681969,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",2010-11-24,tt0117831,1997,5.9,42,331794936,2.2761343692307694,2010,2010,High
